Agent Name, Node Name, Position-X, Position-Z, Time (Seconds)
SmartAgent3D (1), node module, -0.94-X, -13.56-Z, 0 seconds
SmartAgent3D (2), node module, -9.94-X, -4.56-Z, 0 seconds
SmartAgent3D (4), node module, -0.94-X, 7.44-Z, 0 seconds
SmartAgent3D, node module, -12.94-X, -13.56-Z, 0.36 seconds
SmartAgent3D (3), node module, -12.94-X, 7.44-Z, 0.68 seconds
SmartAgent3D (2), node module, -6.94-X, -4.56-Z, 1.02 seconds
SmartAgent3D (1), node module, -3.94-X, -13.56-Z, 1.08 seconds
SmartAgent3D (4), node module, -0.94-X, 4.44-Z, 1.16 seconds
SmartAgent3D, node module, -9.94-X, -13.56-Z, 1.44 seconds
SmartAgent3D (4), node module, -0.94-X, 1.44-Z, 1.74 seconds
SmartAgent3D (3), node module, -9.94-X, 7.44-Z, 2.02 seconds
SmartAgent3D (2), node module, -3.94-X, -4.56-Z, 2.06 seconds
SmartAgent3D (1), node module, -6.94-X, -13.56-Z, 2.06 seconds
SmartAgent3D, node module, -6.94-X, -13.56-Z, 2.56 seconds
SmartAgent3D (3), node module, -9.94-X, 4.44-Z, 3.16 seconds
SmartAgent3D (2), node module, -3.94-X, -7.56-Z, 3.18 seconds
SmartAgent3D (1), node module, -9.94-X, -13.56-Z, 3.26 seconds
SmartAgent3D, node module, -3.94-X, -13.56-Z, 3.46 seconds
SmartAgent3D (3), node module, -9.94-X, 1.44-Z, 4.04 seconds
SmartAgent3D (1), node module, -12.94-X, -13.56-Z, 4.24 seconds
SmartAgent3D (2), node module, -0.94-X, -7.56-Z, 4.28 seconds
SmartAgent3D, node module, -0.94-X, -13.56-Z, 4.44 seconds
SmartAgent3D, node module, -0.94-X, -13.56-Z, 4.58 seconds
SmartAgent3D (3), node module, -6.94-X, 1.44-Z, 5.18 seconds
SmartAgent3D (1), node module, -12.94-X, -10.56-Z, 5.38 seconds
SmartAgent3D (2), node module, -0.94-X, -10.56-Z, 5.46 seconds
SmartAgent3D, node module, -0.94-X, -10.56-Z, 5.66 seconds
SmartAgent3D (3), node module, -3.94-X, 1.44-Z, 6.04 seconds
SmartAgent3D (3), node module, -3.94-X, 1.44-Z, 6.06 seconds
SmartAgent3D (1), node module, -12.94-X, -7.56-Z, 6.24 seconds
SmartAgent3D (1), node module, -12.94-X, -7.56-Z, 6.26 seconds
SmartAgent3D (2), node module, -0.94-X, -13.56-Z, 6.56 seconds
SmartAgent3D, node module, -0.94-X, -7.56-Z, 6.66 seconds
SmartAgent3D (3), node module, -3.94-X, -1.56-Z, 7.18 seconds
SmartAgent3D (3), node module, -3.94-X, -1.56-Z, 7.2 seconds
SmartAgent3D (1), node module, -9.94-X, -7.56-Z, 7.38 seconds
SmartAgent3D (1), node module, -9.94-X, -7.56-Z, 7.4 seconds
SmartAgent3D (2), node module, -3.94-X, -13.56-Z, 7.68 seconds
SmartAgent3D, node module, -3.94-X, -7.56-Z, 7.78 seconds
SmartAgent3D (3), node module, -3.94-X, -4.56-Z, 8.06 seconds
SmartAgent3D (3), node module, -3.94-X, -4.56-Z, 8.08 seconds
SmartAgent3D (1), node module, -9.94-X, -4.56-Z, 8.5 seconds
SmartAgent3D (2), node module, -6.94-X, -13.56-Z, 8.66 seconds
SmartAgent3D, node module, -3.94-X, -4.56-Z, 8.9 seconds
SmartAgent3D (3), node module, -6.94-X, -4.56-Z, 9.2 seconds
SmartAgent3D (3), node module, -6.94-X, -4.56-Z, 9.22 seconds
SmartAgent3D (1), node module, -9.94-X, -1.56-Z, 9.66 seconds
SmartAgent3D (2), node module, -9.94-X, -13.56-Z, 9.68 seconds
SmartAgent3D (2), node module, -9.94-X, -13.56-Z, 9.7 seconds
SmartAgent3D, node module, -3.94-X, -1.56-Z, 10.06 seconds
SmartAgent3D (3), node module, -9.94-X, -4.56-Z, 10.06 seconds
SmartAgent3D (3), node module, -9.94-X, -4.56-Z, 10.08 seconds
SmartAgent3D (3), node module, -9.94-X, -4.56-Z, 10.1 seconds
SmartAgent3D (2), node module, -12.94-X, -13.56-Z, 10.66 seconds
SmartAgent3D (1), node module, -9.94-X, 1.44-Z, 10.68 seconds
SmartAgent3D (2), node module, -12.94-X, -13.56-Z, 10.68 seconds
SmartAgent3D, node module, -3.94-X, 1.44-Z, 11.08 seconds
SmartAgent3D (3), node module, -9.94-X, -7.56-Z, 11.2 seconds
SmartAgent3D (3), node module, -9.94-X, -7.56-Z, 11.22 seconds
SmartAgent3D (3), node module, -9.94-X, -7.56-Z, 11.24 seconds
SmartAgent3D (1), node module, -6.94-X, 1.44-Z, 11.82 seconds
SmartAgent3D (2), node module, -12.94-X, -10.56-Z, 11.82 seconds
SmartAgent3D (3), node module, -12.94-X, -7.56-Z, 12.3 seconds
SmartAgent3D, node module, -6.94-X, 1.44-Z, 12.32 seconds
SmartAgent3D (1), node module, -3.94-X, 1.44-Z, 12.7 seconds
SmartAgent3D (2), node module, -12.94-X, -7.56-Z, 12.74 seconds
SmartAgent3D, node module, -9.94-X, 1.44-Z, 13.34 seconds
SmartAgent3D (3), node module, -12.94-X, -10.56-Z, 13.58 seconds
SmartAgent3D (2), node module, -9.94-X, -7.56-Z, 13.8 seconds
SmartAgent3D (1), node module, -3.94-X, -1.56-Z, 13.84 seconds
SmartAgent3D (2), node module, -9.94-X, -7.56-Z, 13.84 seconds
SmartAgent3D, node module, -9.94-X, -1.56-Z, 14.46 seconds
SmartAgent3D (3), node module, -12.94-X, -13.56-Z, 14.48 seconds
SmartAgent3D (1), node module, -3.94-X, -4.56-Z, 14.7 seconds
SmartAgent3D (1), node module, -3.94-X, -4.56-Z, 14.72 seconds
SmartAgent3D (2), node module, -9.94-X, -4.56-Z, 15.02 seconds
SmartAgent3D, node module, -9.94-X, -4.56-Z, 15.32 seconds
SmartAgent3D, node module, -9.94-X, -4.56-Z, 15.36 seconds
SmartAgent3D (3), node module, -9.94-X, -13.56-Z, 15.64 seconds
SmartAgent3D (2), node module, -9.94-X, -1.56-Z, 15.84 seconds
SmartAgent3D (1), node module, -6.94-X, -4.56-Z, 15.84 seconds
SmartAgent3D (2), node module, -9.94-X, -1.56-Z, 15.86 seconds
SmartAgent3D (1), node module, -6.94-X, -4.56-Z, 15.86 seconds
SmartAgent3D (3), node module, -6.94-X, -13.56-Z, 16.5 seconds
SmartAgent3D, node module, -6.94-X, -4.56-Z, 16.54 seconds
SmartAgent3D (2), node module, -9.94-X, 1.44-Z, 16.72 seconds
SmartAgent3D (3), node module, -3.94-X, -13.56-Z, 17.54 seconds
SmartAgent3D (1), node module, -3.94-X, -7.56-Z, 17.56 seconds
SmartAgent3D (3), node module, -3.94-X, -13.56-Z, 17.66 seconds
SmartAgent3D (2), node module, -6.94-X, 1.44-Z, 17.86 seconds
SmartAgent3D (2), node module, -6.94-X, 1.44-Z, 17.88 seconds
SmartAgent3D, node module, -9.94-X, -7.56-Z, 18.22 seconds
SmartAgent3D (3), node module, -0.94-X, -13.56-Z, 18.54 seconds
SmartAgent3D (1), node module, -0.94-X, -7.56-Z, 18.58 seconds
SmartAgent3D (2), node module, -3.94-X, 1.44-Z, 18.72 seconds
SmartAgent3D (2), node module, -3.94-X, 1.44-Z, 18.74 seconds
SmartAgent3D, node module, -12.94-X, -7.56-Z, 19.18 seconds
SmartAgent3D (3), node module, -0.94-X, -10.56-Z, 19.7 seconds
SmartAgent3D (1), node module, -0.94-X, -10.56-Z, 19.78 seconds
SmartAgent3D (2), node module, -3.94-X, 4.44-Z, 19.86 seconds
SmartAgent3D (2), node module, -3.94-X, 4.44-Z, 19.88 seconds
SmartAgent3D (2), node module, -3.94-X, 4.44-Z, 19.9 seconds
SmartAgent3D, node module, -12.94-X, -10.56-Z, 20.32 seconds
SmartAgent3D (1), node module, -0.94-X, -10.56-Z, 20.6 seconds
SmartAgent3D (3), node module, -0.94-X, -7.56-Z, 20.62 seconds
SmartAgent3D (2), node module, -3.94-X, 7.44-Z, 20.74 seconds
SmartAgent3D (2), node module, -3.94-X, 7.44-Z, 20.76 seconds
SmartAgent3D, node module, -12.94-X, -10.56-Z, 21.2 seconds
SmartAgent3D (1), node module, -0.94-X, -13.56-Z, 21.66 seconds
SmartAgent3D (3), node module, -3.94-X, -7.56-Z, 21.76 seconds
SmartAgent3D, node module, -12.94-X, -7.56-Z, 22.28 seconds
SmartAgent3D (2), node module, -0.94-X, 4.44-Z, 22.56 seconds
SmartAgent3D (1), node module, -3.94-X, -13.56-Z, 22.76 seconds
SmartAgent3D (3), node module, -3.94-X, -4.56-Z, 22.92 seconds
SmartAgent3D (2), node module, -0.94-X, 1.44-Z, 23.12 seconds
SmartAgent3D, node module, -9.94-X, -7.56-Z, 23.4 seconds
SmartAgent3D (3), node module, -3.94-X, -1.56-Z, 23.76 seconds
SmartAgent3D (1), node module, -6.94-X, -13.56-Z, 23.78 seconds
SmartAgent3D, node module, -9.94-X, -4.56-Z, 24.2 seconds
SmartAgent3D (3), node module, -3.94-X, 1.44-Z, 24.62 seconds
SmartAgent3D (1), node module, -9.94-X, -13.56-Z, 24.78 seconds
SmartAgent3D, node module, -9.94-X, -1.56-Z, 25.06 seconds
SmartAgent3D (3), node module, -3.94-X, 4.44-Z, 25.48 seconds
SmartAgent3D (1), node module, -12.94-X, -13.56-Z, 25.78 seconds
SmartAgent3D (1), node module, -12.94-X, -13.56-Z, 25.8 seconds
SmartAgent3D, node module, -9.94-X, 1.44-Z, 25.92 seconds
SmartAgent3D (3), node module, -3.94-X, 7.44-Z, 26.36 seconds
SmartAgent3D, node module, -9.94-X, 4.44-Z, 26.78 seconds
SmartAgent3D (1), node module, -12.94-X, -10.56-Z, 26.92 seconds
SmartAgent3D, node module, -9.94-X, 7.44-Z, 27.82 seconds
SmartAgent3D, node module, -9.94-X, 7.44-Z, 27.94 seconds
SmartAgent3D (3), node module, -0.94-X, 4.44-Z, 28.2 seconds
SmartAgent3D (3), node module, -0.94-X, 1.44-Z, 28.76 seconds
SmartAgent3D, node module, -12.94-X, 7.44-Z, 28.94 seconds
SmartAgent3D, node module, -12.94-X, 4.44-Z, 29.98 seconds
SmartAgent3D (1), node module, -9.94-X, 1.44-Z, 30.5 seconds
SmartAgent3D, node module, -12.94-X, 4.44-Z, 30.96 seconds
SmartAgent3D (1), node module, -9.94-X, 4.44-Z, 31.36 seconds
SmartAgent3D, node module, -12.94-X, 7.44-Z, 31.94 seconds
SmartAgent3D, node module, -12.94-X, 7.44-Z, 32 seconds
SmartAgent3D (1), node module, -9.94-X, 7.44-Z, 32.22 seconds
SmartAgent3D (1), node module, -12.94-X, 7.44-Z, 33.38 seconds
SmartAgent3D, node module, -9.94-X, 4.44-Z, 33.62 seconds
SmartAgent3D, node module, -9.94-X, 4.44-Z, 33.96 seconds
SmartAgent3D (1), node module, -12.94-X, 4.44-Z, 34.42 seconds
SmartAgent3D, node module, -9.94-X, 7.44-Z, 34.96 seconds
SmartAgent3D (1), node module, -12.94-X, 4.44-Z, 35.4 seconds
SmartAgent3D, node module, -9.94-X, 4.44-Z, 36.34 seconds
SmartAgent3D (1), node module, -12.94-X, 7.44-Z, 36.38 seconds
SmartAgent3D (1), node module, -9.94-X, 7.44-Z, 37.46 seconds
SmartAgent3D, node module, -6.94-X, 1.44-Z, 37.68 seconds
SmartAgent3D (1), node module, -9.94-X, 4.44-Z, 38.58 seconds
SmartAgent3D, node module, -3.94-X, 4.44-Z, 39.16 seconds
SmartAgent3D (1), node module, -6.94-X, 1.44-Z, 39.92 seconds
SmartAgent3D, node module, -3.94-X, 7.44-Z, 40.1 seconds
SmartAgent3D (1), node module, -3.94-X, 4.44-Z, 41.38 seconds
SmartAgent3D, node module, -0.94-X, 4.44-Z, 41.92 seconds
SmartAgent3D (1), node module, -3.94-X, 7.44-Z, 42.32 seconds
SmartAgent3D, node module, -0.94-X, 1.44-Z, 42.48 seconds
SmartAgent3D (1), node module, -0.94-X, 4.44-Z, 44.14 seconds
SmartAgent3D (1), node module, -0.94-X, 1.44-Z, 44.7 seconds
